Subj	Date	SoundStim	arousal1.RT	arousal1.RESP	valence1.RT	valence1.RESP
10901	20111206	 375.wav	 2573	 5	 1989	 5	
10901	20111206	 723.wav	 2082	 5	 751	 5	
10901	20111206	 277.wav	 3439	 5	 2027	 3	
10901	20111206	 276.wav	 2036	 6	 1723	 3	
10901	20111206	 376.wav	 2558	 5	 1056	 5	
10901	20111206	 170.wav	 2300	 5	 920	 5	
10901	20111206	 365.wav	 743	 5	 1220	 5	
10901	20111206	 382.wav	 1206	 5	 1200	 5	
10901	20111206	 717.wav	 1359	 5	 1682	 5	
10901	20111206	 275.wav	 1971	 6	 2693	 3	
10901	20111206	 802.wav	 1757	 3	 1231	 5	
10901	20111206	 105.wav	 2867	 6	 1999	 4	
10901	20111206	 353.wav	 461	 5	 717	 5	
10901	20111206	 713.wav	 1801	 5	 2067	 5	
10901	20111206	 601.wav	 3409	 4	 1950	 4	
10901	20111206	 130.wav	 1408	 5	 609	 5	
10901	20111206	 260.wav	 695	 5	 1039	 3	
10901	20111206	 378.wav	 1389	 5	 1422	 5	
10901	20111206	 423.wav	 1685	 5	 539	 5	
10901	20111206	 712.wav	 1557	 5	 1439	 4	
10901	20111206	 355.wav	 1831	 8	 3654	 5	
10901	20111206	 820.wav	 2543	 3	 1544	 6	
10901	20111206	 261.wav	 2049	 5	 432	 3	
10901	20111206	 420.wav	 2939	 6	 779	 4	
10901	20111206	 728.wav	 438	 5	 638	 5	
10901	20111206	 288.wav	 2570	 5	 1636	 5	
10901	20111206	 415.wav	 1624	 5	 2543	 5	
10901	20111206	 358.wav	 1334	 5	 1427	 6	
10901	20111206	 602.wav	 1962	 5	 1403	 5	
10901	20111206	 367.wav	 5545	 4	 2589	 5	
10901	20111206	 110.wav	 1617	 2	 2425	 6	
10901	20111206	 705.wav	 1835	 5	 547	 5	
10901	20111206	 698.wav	 746	 5	 689	 5	
10901	20111206	 226.wav	 1587	 5	 525	 5	
10901	20111206	 221.wav	 3421	 5	 787	 5	
10901	20111206	 311.wav	 2051	 5	 578	 5	
10901	20111206	 732.wav	 1042	 5	 722	 5	
10901	20111206	 719.wav	 701	 6	 595	 6	
10901	20111206	 716.wav	 3338	 3	 748	 5	
10901	20111206	 106.wav	 1674	 6	 1656	 4	
10901	20111206	 708.wav	 990	 5	 944	 5	
10901	20111206	 360.wav	 981	 6	 1105	 5	
10901	20111206	 270.wav	 2163	 4	 684	 5	
10901	20111206	 709.wav	 2823	 5	 622	 5	
